input,retrieval_context,additional_metadata,comments
I'm looking for a 1 bedroom apartment in hells-kitchen with a budget up to $7900.,"[""4894321"", ""4733592"", ""4871609"", ""4841420"", ""4889188""]","{""spec_key"": ""auto_hells-kitchen_1br_7900"", ""max_rent"": 7900, ""min_beds"": 1, ""listing_ids"": [""4894321"", ""4733592"", ""4871609"", ""4841420"", ""4889188""]}",
I'm looking for a 3 bedrooms apartment in lenox-hill with a budget up to $3900.,"[""4888274"", ""4833859"", ""4877673""]","{""spec_key"": ""auto_lenox-hill_3br_3900"", ""max_rent"": 3900, ""min_beds"": 3, ""listing_ids"": [""4888274"", ""4833859"", ""4877673""]}",
I'm looking for a 3 bedrooms apartment in hells-kitchen for around $6900 a month.,"[""4888274"", ""4833859"", ""4877673"", ""4888279"", ""4873038""]","{""spec_key"": ""auto_hells-kitchen_3br_6900"", ""max_rent"": 6900, ""min_beds"": 3, ""listing_ids"": [""4888274"", ""4833859"", ""4877673"", ""4888279"", ""4873038""]}",
"I'm looking for a 2 bedrooms apartment in turtle-bay for around $7200 a month, that has live_in_super.","[""4894095"", ""4885857"", ""4891650"", ""4880065"", ""4879569""]","{""spec_key"": ""auto_turtle-bay_2br_7200"", ""max_rent"": 7200, ""min_beds"": 2, ""listing_ids"": [""4894095"", ""4885857"", ""4891650"", ""4880065"", ""4879569""]}",
"I'm looking for a 1 bedroom apartment in lenox-hill for around $5400 a month, that has laundry.","[""4841420"", ""4889188"", ""4891043"", ""4873081"", ""4885857""]","{""spec_key"": ""auto_lenox-hill_1br_5400"", ""max_rent"": 5400, ""min_beds"": 1, ""listing_ids"": [""4841420"", ""4889188"", ""4891043"", ""4873081"", ""4885857""]}",
"I'm looking for a 2 bedrooms apartment in kips-bay for around $7600 a month, that has doorman.","[""4853227"", ""4888279"", ""4889011"", ""4891233"", ""4892775""]","{""spec_key"": ""auto_kips-bay_2br_7600"", ""max_rent"": 7600, ""min_beds"": 2, ""listing_ids"": [""4853227"", ""4888279"", ""4889011"", ""4891233"", ""4892775""]}",
"I'm looking for a 1 bedroom apartment in hudson-yards with a budget up to $5900, that has washer_dryer.","[""4894095"", ""4888896"", ""4835314"", ""4835210"", ""4882952""]","{""spec_key"": ""auto_hudson-yards_1br_5900"", ""max_rent"": 5900, ""min_beds"": 1, ""listing_ids"": [""4894095"", ""4888896"", ""4835314"", ""4835210"", ""4882952""]}",
"I'm looking for a 3 bedrooms apartment in turtle-bay for around $5600 a month, that has elevator.","[""4873038"", ""4891233"", ""4892775"", ""4878523""]","{""spec_key"": ""auto_turtle-bay_3br_5600"", ""max_rent"": 5600, ""min_beds"": 3, ""listing_ids"": [""4873038"", ""4891233"", ""4892775"", ""4878523""]}",
"I'm looking for a 1 bedroom apartment in hamilton-heights for around $5200 a month, that has dishwasher.","[""4744739"", ""4885857"", ""4888305"", ""4894095"", ""4889188""]","{""spec_key"": ""auto_hamilton-heights_1br_5200"", ""max_rent"": 5200, ""min_beds"": 1, ""listing_ids"": [""4744739"", ""4885857"", ""4888305"", ""4894095"", ""4889188""]}",
"I'm looking for a 3 bedrooms apartment in hamilton-heights for around $6400 a month, that has laundry.","[""4888279"", ""4878523"", ""4892775"", ""4890714"", ""4870744""]","{""spec_key"": ""auto_hamilton-heights_3br_6400"", ""max_rent"": 6400, ""min_beds"": 3, ""listing_ids"": [""4888279"", ""4878523"", ""4892775"", ""4890714"", ""4870744""]}",
